"","Council","serv2a","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"128","North Lanarkshire","Not used in the past year","13.2","23.5","26.3","24.7","28.1","18.2","15.4","19.1","24.4","31.3","29.5","37.3","42.1"
"129","North Lanarkshire","Never used","47.5","39.4","35.5","31.5","36","39.1","49.5","37.4","34.7","33.5","37.6","32.4","22.1"
"130","North Lanarkshire","Don't know","0","0.1","-","0.5","-","-","0.1","0.9","-","0.5","-","0.8","-"
"131","North Lanarkshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"132","North Lanarkshire","Base","960","950","480","410","430","450","410","440","420","440","460","380","480"
"133","Orkney Islands","Have used in the past year","43.5","43.4","50.7","41.5","43.6","50.6","49.2","43.1","45.2","51.7","46.9","34.5","41.3"
"134","Orkney Islands","Not used in the past year","6.6","13.8","6","13.2","19.8","8.3","10.4","19.2","12.5","23.1","17.8","21.3","30.5"
"135","Orkney Islands","Never used","49.7","42.6","43.4","44.9","36.5","40.6","40.4","37.6","41.3","25.2","35","44.2","28"
"136","Orkney Islands","Don't know","0.3","0.1","-","0.4","0.2","0.6","-","-","1.1","-","0.4","-","0.2"
"137","Orkney Islands","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"138","Orkney Islands","Base","400","350","170","290","280","270","280","230","240","260","250","300","260"
"139","Perth and Kinross","Have used in the past year","41.1","39.3","46.3","39.3","41.2","34.6","40.2","34.6","36.4","37.4","38.6","29.3","31.7"
"140","Perth and Kinross","Not used in the past year","19.7","30.1","31.7","30.6","27.4","26.9","37.1","29.3","36.5","28.7","32.7","43.4","41.8"
"141","Perth and Kinross","Never used","38","30.1","21.7","30.1","31.3","38.5","22.8","36.1","27.1","33.9","28.8","27.3","26.5"
"142","Perth and Kinross","Don't know","1.3","0.5","0.3","-","-","-","-","-","-","-","-","-","-"
"143","Perth and Kinross","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"144","Perth and Kinross","Base","520","510","260","240","270","250","240","220","240","220","200","220","250"
"145","Renfrewshire","Have used in the past year","39.1","35.8","32.8","42.2","39.9","50.4","35.1","36.4","41.4","40.3","39.3","33.7","36.5"
"146","Renfrewshire","Not used in the past year","26.4","35.8","39","18.3","31.1","34.2","38.7","39","36.2","37.6","40","42.6","31.6"
"147","Renfrewshire","Never used","33.8","27.9","27.9","39.5","28.8","15.4","26.2","24.7","22.4","22.1","20.2","23.2","31.9"
"148","Renfrewshire","Don't know","0.6","0.5","0.3","-","0.2","-","-","-","-","-","0.5","0.4","-"
"149","Renfrewshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"150","Renfrewshire","Base","560","600","300","310","270","250","290","270","220","240","250","240","280"
"151","Scotland","Have used in the past year","39.7","38","37.7","38.2","38.2","38.8","37.1","36.6","37.9","36.5","34.7","28.6","31.7"
"152","Scotland","Not used in the past year","16.5","21.9","24.8","21.3","26.1","25","26.5","25.9","27.9","28","28.8","35.3","35.6"
"153","Scotland","Never used","43.2","39.8","37.3","40.2","35.4","36.1","36.2","37.2","34","35.3","36.2","35.7","32.4"
"154","Scotland","Don't know","0.6","0.4","0.2","0.3","0.2","0.2","0.1","0.2","0.2","0.2","0.3","0.5","0.3"
"155","Scotland","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"156","Scotland","Base","19470","18730","9660","9890","9920","9800","9410","9640","9810","9700","9780","9640","9750"
"157","Scottish Borders","Have used in the past year","36.6","38.3","32.8","31.4","40.1","36.5","32.5","36.2","36.4","33","36.3","26.1","29.2"
