"","Council","","2013","2014","2015","2016","2017","2019","2023"
"168","North Ayrshire","Base","240","240","240","250","210","230","230"
"169","North Lanarkshire","Every day / Several times a week","26.1","26.7","24.9","31.2","26.5","23.5","30.4"
"170","North Lanarkshire","Once a week","10.3","11.7","10.5","6.8","13.8","9.6","10.5"
"171","North Lanarkshire","Once a month","13.1","12.5","14.9","11.7","17.3","16.2","17.7"
"172","North Lanarkshire","Less often","18.1","11.1","14.1","17.2","13.5","16.4","15.4"
"173","North Lanarkshire","Not at all","32.4","38.1","35.7","32.9","29","33.9","25.3"
"174","North Lanarkshire","Don't know","-","-","-","0.2","-","0.4","0.8"
"175","North Lanarkshire","All","100","100","100","100","100","100","100"
"176","North Lanarkshire","Base","420","450","400","430","410","450","460"
"177","Orkney Islands","Every day / Several times a week","56.7","56.6","46","37.9","36.6","28.1","55.6"
"178","Orkney Islands","Once a week","12.4","14.6","13.2","7.8","10.5","9.9","10.3"
"179","Orkney Islands","Once a month","3.8","7.9","8.1","8.8","14.8","9.2","13"
"180","Orkney Islands","Less often","6.7","2.1","11.1","13.5","13.6","12.4","7"
"181","Orkney Islands","Not at all","20","18.8","21.1","31.4","24.4","40.2","14.2"
"182","Orkney Islands","Don't know","0.3","-","0.5","0.6","-","0.2","-"
"183","Orkney Islands","All","100","100","100","100","100","100","100"
"184","Orkney Islands","Base","280","270","280","230","240","250","260"
"185","Perth and Kinross","Every day / Several times a week","38.9","34.9","38.5","46","47.2","41.5","69.3"
"186","Perth and Kinross","Once a week","11.6","18.5","13.5","12.9","13.5","12.9","8.5"
"187","Perth and Kinross","Once a month","26.5","21.8","18","16.3","13","17.2","7.2"
"188","Perth and Kinross","Less often","11.2","12.5","9.5","5","6.7","14","7.9"
"189","Perth and Kinross","Not at all","11.8","12.4","20.5","19.9","19.6","14.4","7.1"
"190","Perth and Kinross","Don't know","-","-","-","-","-","-","-"
"191","Perth and Kinross","All","100","100","100","100","100","100","100"
"192","Perth and Kinross","Base","260","250","240","220","240","200","250"
"193","Renfrewshire","Every day / Several times a week","32.8","24.9","23.5","26.7","25.4","23.7","39.5"
