"","Council","Satisfaction","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"133","Orkney Islands","Very/fairly satisfied","59.8","57.3","61","76.9","73.2","82.2","82.4","68.2","78.4","75.8","81.2","72.4","64.7"
"134","Orkney Islands","Neither satisfied nor dissatisfied","8.8","5.8","7.3","2.9","1.7","2.2","4.6","4.5","11.8","12.9","4.5","12","15.4"
"135","Orkney Islands","Very/fairly dissatisfied","2.9","4.8","1.6","2.9","3.5","0.9","1.4","1.9","0.8","1.8","3.5","4.1","2.8"
"136","Orkney Islands","No opinion","28.4","32.1","30.1","17.3","21.5","14.6","11.6","25.4","9","9.5","10.8","11.5","17"
"137","Orkney Islands","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"138","Orkney Islands","Base","400","350","170","290","280","270","280","230","240","260","250","300","260"
"139","Perth and Kinross","Very/fairly satisfied","52","52.1","53.5","47.2","50.7","51.5","72","56.7","65.6","58.3","64.3","61.1","48.8"
"140","Perth and Kinross","Neither satisfied nor dissatisfied","14.2","8.6","12.9","7.2","7.8","6.6","12.2","10.6","15.6","12.5","17.7","15.8","22.3"
"141","Perth and Kinross","Very/fairly dissatisfied","4.9","4.1","3.4","3.8","3.8","5.5","4.1","3.5","4.8","5.3","5.8","9.4","13.5"
"142","Perth and Kinross","No opinion","28.8","35.2","30.2","41.8","37.7","36.5","11.7","29.2","14","23.9","12.2","13.7","15.4"
"143","Perth and Kinross","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"144","Perth and Kinross","Base","520","510","260","240","270","250","240","220","240","220","200","220","250"
"145","Renfrewshire","Very/fairly satisfied","47.8","46.6","50.8","56.3","54.1","60.9","54.4","53.8","51.9","51.2","39.1","43.6","53.7"
"146","Renfrewshire","Neither satisfied nor dissatisfied","15.6","8.3","8.4","6.9","7.3","5.4","12.3","6.3","9.3","8.5","12.3","25.9","19.6"
"147","Renfrewshire","Very/fairly dissatisfied","8.2","9.5","8.6","4.8","5.3","3.7","5.9","2.7","3.2","5","4.5","4.5","4.2"
"148","Renfrewshire","No opinion","28.5","35.6","32.2","32","33.3","30","27.4","37.2","35.6","35.2","44.1","25.9","22.5"
"149","Renfrewshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"150","Renfrewshire","Base","560","600","300","310","270","250","290","270","220","240","250","240","280"
"151","Scotland","Very/fairly satisfied","50","48.6","51.1","51.2","52.9","52.1","50.8","49.9","51","46.5","43.6","41.7","42.7"
"152","Scotland","Neither satisfied nor dissatisfied","10.2","8.6","8.8","7.5","8.9","11.6","13.5","13.8","15","13.8","12.4","15.8","16.7"
