Years,Area name,Frequency of use nearest green space,Percentage
2017,"Edinburgh, City of",Once a week,15.1
2017,"Edinburgh, City of",Once a month,18.9
2017,"Edinburgh, City of",Less often,9.2
2017,"Edinburgh, City of",Not at all,15.3
2017,"Edinburgh, City of",Base,700
2019,"Edinburgh, City of",Every day / Several times a week,38.6
2019,"Edinburgh, City of",Once a week,15.6
2019,"Edinburgh, City of",Once a month,19
2019,"Edinburgh, City of",Less often,12.2
2019,"Edinburgh, City of",Not at all,14.6
2019,"Edinburgh, City of",Base,840
2023,"Edinburgh, City of",Every day / Several times a week,52.2
2023,"Edinburgh, City of",Once a week,13.3
2023,"Edinburgh, City of",Once a month,13.5
2023,"Edinburgh, City of",Less often,7.6
2023,"Edinburgh, City of",Not at all,13.2
2023,"Edinburgh, City of",Don't know,0.2
2023,"Edinburgh, City of",Base,830
2013,Falkirk,Every day / Several times a week,36.5
2013,Falkirk,Once a week,11.2
2013,Falkirk,Once a month,17.4
2013,Falkirk,Less often,15.5
2013,Falkirk,Not at all,19.4
2013,Falkirk,Base,230
2014,Falkirk,Every day / Several times a week,35
2014,Falkirk,Once a week,12.5
2014,Falkirk,Once a month,27.7
2014,Falkirk,Less often,10.5
2014,Falkirk,Not at all,14.4
2014,Falkirk,Base,260
2015,Falkirk,Every day / Several times a week,32.1
2015,Falkirk,Once a week,15.6
2015,Falkirk,Once a month,20.6
2015,Falkirk,Less often,9.8
2015,Falkirk,Not at all,21.9
2015,Falkirk,Base,260
2016,Falkirk,Every day / Several times a week,27.8
2016,Falkirk,Once a week,22.3
2016,Falkirk,Once a month,17.4
2016,Falkirk,Less often,8.9
2016,Falkirk,Not at all,23.7
2016,Falkirk,Base,250
2017,Falkirk,Every day / Several times a week,28.3
2017,Falkirk,Once a week,14.4
2017,Falkirk,Once a month,25.8
2017,Falkirk,Less often,13.9
2017,Falkirk,Not at all,17.6
2017,Falkirk,Base,260
2019,Falkirk,Every day / Several times a week,37.5
2019,Falkirk,Once a week,13.9
2019,Falkirk,Once a month,14.1
2019,Falkirk,Less often,14.8
2019,Falkirk,Not at all,19.6
2019,Falkirk,Base,220
2023,Falkirk,Every day / Several times a week,42.1
2023,Falkirk,Once a week,12.1
2023,Falkirk,Once a month,16.8
2023,Falkirk,Less often,10.7
2023,Falkirk,Not at all,17.8
2023,Falkirk,Don't know,0.4
2023,Falkirk,Base,220
2013,Fife,Every day / Several times a week,37.9
2013,Fife,Once a week,15.5
2013,Fife,Once a month,14.2
2013,Fife,Less often,10.5
2013,Fife,Not at all,21.9
2013,Fife,Don't know,0.1
2013,Fife,Base,500
2014,Fife,Every day / Several times a week,42.4
2014,Fife,Once a week,11.7
2014,Fife,Once a month,13.9
2014,Fife,Less often,13.6
2014,Fife,Not at all,18.3
2014,Fife,Don't know,0.2
2014,Fife,Base,480
2015,Fife,Every day / Several times a week,40.6
2015,Fife,Once a week,14
2015,Fife,Once a month,10.9
2015,Fife,Less often,12.5
2015,Fife,Not at all,22.1
2015,Fife,Base,470
2016,Fife,Every day / Several times a week,38.4
2016,Fife,Once a week,12.6
2016,Fife,Once a month,18.6
2016,Fife,Less often,9.7
2016,Fife,Not at all,20.5
2016,Fife,Don't know,0.2
2016,Fife,Base,480
2017,Fife,Every day / Several times a week,47.4
2017,Fife,Once a week,13.2
2017,Fife,Once a month,14.4
2017,Fife,Less often,11.7
2017,Fife,Not at all,13.4
2017,Fife,Base,460
2019,Fife,Every day / Several times a week,39.6
2019,Fife,Once a week,17.8
2019,Fife,Once a month,12.6
2019,Fife,Less often,16.8
2019,Fife,Not at all,13.1
2019,Fife,Don't know,0.1
2019,Fife,Base,480
2023,Fife,Every day / Several times a week,44.2
2023,Fife,Once a week,12.9
2023,Fife,Once a month,14.5
2023,Fife,Less often,5.9
2023,Fife,Not at all,21.8
2023,Fife,Don't know,0.6
2023,Fife,Base,470
2013,Glasgow City,Every day / Several times a week,26.7
2013,Glasgow City,Once a week,12.2
2013,Glasgow City,Once a month,19.2
2013,Glasgow City,Less often,11.2
2013,Glasgow City,Not at all,30.4
2013,Glasgow City,Don't know,0.3
2013,Glasgow City,Base,890
2014,Glasgow City,Every day / Several times a week,28.7
2014,Glasgow City,Once a week,12.6
2014,Glasgow City,Once a month,17.1
2014,Glasgow City,Less often,10.6
2014,Glasgow City,Not at all,30.7
2014,Glasgow City,Don't know,0.2
2014,Glasgow City,Base,930
2015,Glasgow City,Every day / Several times a week,25.1
2015,Glasgow City,Once a week,14.2
2015,Glasgow City,Once a month,15.8
2015,Glasgow City,Less often,17.4
2015,Glasgow City,Not at all,27.4
2015,Glasgow City,Don't know,0.2
2015,Glasgow City,Base,800
2016,Glasgow City,Every day / Several times a week,27.9
2016,Glasgow City,Once a week,13.2
2016,Glasgow City,Once a month,19.2
2016,Glasgow City,Less often,12.8
2016,Glasgow City,Not at all,26.9
2016,Glasgow City,Don't know,0.1
2016,Glasgow City,Base,790
2017,Glasgow City,Every day / Several times a week,32.1
2017,Glasgow City,Once a week,12.5
2017,Glasgow City,Once a month,18.5
2017,Glasgow City,Less often,15
2017,Glasgow City,Not at all,21.8
2017,Glasgow City,Don't know,0.1
2017,Glasgow City,Base,820
2019,Glasgow City,Every day / Several times a week,31.1
2019,Glasgow City,Once a week,13
2019,Glasgow City,Once a month,19.1
2019,Glasgow City,Less often,14.7
2019,Glasgow City,Not at all,21.9
2019,Glasgow City,Don't know,0.1
2019,Glasgow City,Base,820
2023,Glasgow City,Every day / Several times a week,33.1
2023,Glasgow City,Once a week,13.8
2023,Glasgow City,Once a month,17.3
2023,Glasgow City,Less often,14.3
2023,Glasgow City,Not at all,21.4
2023,Glasgow City,Don't know,0
2023,Glasgow City,Base,870
2013,Highland,Every day / Several times a week,39.7
2013,Highland,Once a week,11.7
2013,Highland,Once a month,9.3
2013,Highland,Less often,12.5
2013,Highland,Not at all,26.7
2013,Highland,Base,270
2014,Highland,Every day / Several times a week,51.9
2014,Highland,Once a week,13.5
2014,Highland,Once a month,9.1
2014,Highland,Less often,6.9
2014,Highland,Not at all,18.6
2014,Highland,Base,310
2015,Highland,Every day / Several times a week,44.6
2015,Highland,Once a week,9.9
2015,Highland,Once a month,10.8
2015,Highland,Less often,19.9
2015,Highland,Not at all,14.8
2015,Highland,Base,290
2016,Highland,Every day / Several times a week,51.5
2016,Highland,Once a week,13
2016,Highland,Once a month,13
2016,Highland,Less often,9.4
2016,Highland,Not at all,13.1
2016,Highland,Base,270
2017,Highland,Every day / Several times a week,56.4
2017,Highland,Once a week,5.3
2017,Highland,Once a month,12.8
2017,Highland,Less often,10.3
2017,Highland,Not at all,15.3
2017,Highland,Base,310
2019,Highland,Every day / Several times a week,42.3
2019,Highland,Once a week,7.7
2019,Highland,Once a month,14
2019,Highland,Less often,10.2
2019,Highland,Not at all,25.8
2019,Highland,Base,320
2023,Highland,Every day / Several times a week,55.7
2023,Highland,Once a week,8.6
2023,Highland,Once a month,9.8
2023,Highland,Less often,6.8
2023,Highland,Not at all,18.8
2023,Highland,Don't know,0.3
2023,Highland,Base,320
2013,Inverclyde,Every day / Several times a week,25.2
2013,Inverclyde,Once a week,15.3
2013,Inverclyde,Once a month,12.3
2013,Inverclyde,Less often,13.6
2013,Inverclyde,Not at all,33.3
2013,Inverclyde,Don't know,0.2
2013,Inverclyde,Base,240
